AlBert-CRF,AlBert-BiLSTM-CRF,AlBert-BiGRU-CRF
29.66684913635254,35.7457275390625,39.5476188659668
4.569178581237793,26.952302932739254,30.7384090423584
5.719108581542969,18.691072463989254,22.498523712158203
4.686387062072754,10.75196647644043,14.518016815185547
3.902011156082153,5.784682273864746,9.804030418395996
4.25861406326294,3.66791582107544,5.804698467254639
4.523194313049316,4.7324724197387695,3.868310213088989
2.929595947265625,5.349799156188965,5.207077980041504
3.971480846405029,2.6895947456359863,4.9179863929748535
6.160427570343018,5.145920753479004,5.931322574615479
5.508391857147217,3.1143686771392822,5.059351921081543
4.375628471374512,4.5557899475097665,4.068972110748291
3.9471623897552486,4.1496219635009775,4.044571399688722
3.766493320465088,4.3232598304748535,3.956305265426636
3.0218012332916264,3.0513453483581543,3.2888300418853764
3.3547914028167725,3.953330993652344,4.41472053527832
4.39995002746582,3.485735416412353,7.918010234832764
4.027573585510254,3.0966038703918457,3.306504726409912
4.800992965698242,4.213615417480469,4.355161666870116
5.018339157104492,3.8094975948333736,4.427597999572754
4.4620680809021,5.067317008972168,4.664768695831299
7.090382099151611,2.830818891525269,4.688335418701172
3.748485326766968,4.024370670318604,5.013495922088623
5.396233558654785,3.7117083072662354,3.3992435932159424
4.566507339477539,3.198890209197998,5.8516783714294425
3.4259228706359863,3.265449523925781,4.488607406616211
3.65102767944336,5.495079040527344,4.4055142402648935
3.0317206382751465,4.1636033058166495,2.860288143157959
3.169593811035156,4.959422588348389,4.253758430480957
3.4292666912078857,3.1948392391204834,5.6419878005981445
4.926335334777832,5.273039817810059,4.129564762115479
4.078118801116943,4.485421657562256,2.5530357360839844
5.445553779602051,3.58948302268982,4.2581872940063485
5.5064125061035165,2.8544526100158687,3.3742482662200928
3.817509651184082,4.3322668075561515,3.4458677768707275
6.4910645484924325,3.4728846549987797,3.4617798328399663
4.3084936141967765,2.9036805629730225,3.664241075515747
3.3500194549560547,3.653264999389648,4.561902046203613
4.9140052795410165,6.087786674499513,4.924020290374756
3.366550922393799,4.6785383224487305,2.5949978828430176
2.922825336456299,3.3007628917694087,2.687098741531372
2.8615870475769043,3.321839570999145,3.245387077331543
3.098443031311035,4.106171607971191,3.4732508659362797
4.35982608795166,5.319361209869385,3.48409366607666
4.808663368225098,3.22135853767395,3.3398754596710205
3.1608822345733643,5.196117877960205,4.379127025604248
3.4830634593963623,3.802427053451538,6.417705059051514
6.742470741271973,3.259770393371582,3.9321074485778813
3.3611531257629395,4.765261650085449,4.159139633178712
3.5506713390350337,7.5339698791503915,3.758489608764648
3.310943603515625,2.5082709789276123,4.864140033721924
3.7369873523712163,4.029984474182129,4.764312267303467
4.390737533569337,3.983501434326172,6.009060382843018
3.738268613815308,4.273597240447998,3.0192573070526123
4.441886901855469,4.16765832901001,4.622486591339111
4.8065505027771,3.808626651763916,5.189703941345215
4.5396575927734375,2.7996091842651367,4.011040210723877
2.905611753463745,5.2094831466674805,4.013893127441406
4.674705505371094,4.576986789703369,6.200380325317383
4.807281017303467,3.418111085891724,3.781842231750488
5.514001369476318,3.640491485595703,4.1364407539367685
4.4952659606933585,4.4509453773498535,3.148003101348877
3.7755088806152335,3.592402696609497,3.887555122375488
3.2675976753234863,6.009159564971924,3.1114535331726074
3.1765239238739014,3.788377285003662,2.85790491104126
4.432689189910889,3.275975227355957,7.025276184082031
4.25200891494751,3.986537218093872,4.093379497528076
3.6618189811706543,3.825671195983887,3.6867287158966064
3.7982370853424072,6.708785057067871,3.1175379753112797
4.042409420013429,5.561286926269531,4.480883121490479
4.367835521697998,3.7624881267547607,3.528294324874878
3.795457363128662,4.130307197570802,6.3550052642822275
3.881332874298096,2.250131130218506,6.474937438964844
3.2706356048583984,4.1922287940978995,4.520440578460693
4.068025588989259,4.608191013336182,3.924084663391113
4.213980197906493,3.919988870620728,3.5479578971862797
4.945570468902588,5.173701286315918,3.466318368911743
2.9992983341217037,3.6147654056549072,3.62077522277832
3.3891785144805913,6.459507942199707,4.313417434692384
3.97405219078064,4.443574905395508,3.3981940746307373
5.014010429382324,3.9099237918853764,3.644039869308472
3.739650011062622,2.562229871749878,3.3969876766204834
3.0354225635528564,3.3735370635986333,5.275004863739014
2.9457573890686035,2.719655752182007,4.709840774536133
3.4365487098693848,3.502840757369995,3.7472417354583736
5.147552013397217,5.00573205947876,4.3589258193969735
4.409362316131592,4.010712623596191,4.308666229248047
2.7392258644104004,3.1664006710052486,3.8290281295776367
4.1078577041625985,3.972771167755127,4.1534690856933585
4.636776924133301,7.035570621490479,3.9937069416046143
2.7167413234710693,3.9049887657165527,3.15069842338562
4.436450004577637,4.374194622039795,3.216301441192627
4.932549953460693,3.5147991180419917,3.8090424537658687
3.42893385887146,4.01977014541626,4.20255184173584
3.641238451004028,4.685234546661377,5.303009510040283
5.4585394859313965,3.0938751697540283,3.275292158126831
4.633519649505615,3.660746097564697,3.324859619140625
3.2559053897857666,3.9443280696868896,5.7485785484313965
5.427216053009033,2.55104923248291,2.8139491081237797
4.259253978729248,2.7012693881988525,4.014936923980713
